year   IAGA     geolat      geolon    declination
1998   SON       25.12       66.44        0.34
1998   AMU       61.24      210.13       22.69
1998   YKC       62.48      245.52       25.29
1998   CBB       69.12      254.97       19.00
1998   RES       74.69      265.11      317.31
1998   BLC       64.32      263.99      359.01
1998   MEA       54.62      246.65       19.39
1998   SIT       57.06      224.67       24.73
1998   PBQ       55.28      282.26      340.31
1998   MEK       62.77       30.97        9.52
1998   STJ       47.60      307.32      337.72
1998   ALE       82.50      297.50      290.16
1998   LRV       64.18      338.30      340.53
1998   BOU       40.14      254.76       10.84
1998   FRN       37.09      240.28       14.98
1998   VIC       48.52      236.58       19.79
1998   NEW       48.27      242.88       18.12
1998   LOV       59.35       17.83        3.21
1998   LER       60.13      358.82      354.11
1998   VAL       51.93      349.75      352.04
1998   HAD       50.98      355.52      354.82
1998   ESK       55.32      356.80      354.36
1998   MAB       50.30        5.68      358.88
1998   DOU       50.10        4.60      358.52
1998   BFE       55.62       11.67        0.67
1998   CLF       48.02        2.27      357.94
1998   OTT       45.40      284.45      345.53
1998   WNG       53.75        9.07      359.79
1998   VRE      -17.28      292.38      355.30
1998   SHE      -15.95      354.27      340.64
1998   SMA       36.99      334.87      348.79
1998   PNL      -16.68      303.83      345.85
1998   THY       46.90       17.54        2.39
1998   BEL       51.83       20.80        3.57
1998   FUR       48.17       11.28        0.79
1998   NGK       52.07       12.68        1.13
1998   BDV       49.07       14.02        1.55
1998   FRD       38.20      282.63      349.86
1998   CRP       10.44      275.09        1.03
1998   HYB       17.40       78.60      358.77
1998   IPM      -27.20      250.58       15.54
1998   KMH      -26.54       18.11      342.55
1998   NMP      -15.09       39.25      352.40
1998   DED       70.36      211.21       28.10
1998   KEP      -54.28      323.51      353.03
1998   CDP       31.00      256.30        8.99
1998   DMC      -75.25      235.83       64.25
1998   LON       45.41       16.66        2.12
1998   SPG       60.54       29.72        8.26
1998   TAB       76.54      291.18      296.53
1998   ROE       55.17        8.55      359.48
1998   THL       77.47      290.77      294.18
1998   SVS       76.02      294.90      300.01
1998   KUV       74.57      302.82      307.70
1998   UPN       72.78      303.85      311.09
1998   UMQ       70.68      307.87      316.36
1998   GDH       69.25      306.47      317.56
1998   ATU       67.93      306.43      319.32
1998   STF       67.02      309.28      321.74
1998   SKT       65.42      307.10      322.78
1998   GHB       64.17      308.27      324.69
1998   FHB       62.00      310.32      327.75
1998   NAQ       61.16      314.56      330.16
1998   NRD       81.60      343.33      333.96
1998   DMH       76.77      341.37      335.29
1998   DNB       74.30      339.78      335.45
1998   SCO       70.48      338.03      336.46
1998   AMK       65.60      322.37      330.01
1998   MCN       73.93      322.38      322.37
1998   MCE       72.40      326.10      326.46
1998   MCW       72.00      317.41      320.73
1998   MCG       72.60      321.65      323.08
1998   MCR       66.48      313.71      324.49
1998   TDC      -37.10      347.69      335.48
1998   SUM       72.30      321.70      323.40
1998   HOV       61.50      353.20      350.62
1998   GIM       56.38      265.36        1.11
1998   TAL       69.54      266.45      342.12
1998   CNL       65.75      248.75       25.74
1998   DAW       64.05      220.89       28.34
1998   EKP       61.11      265.95      357.65
1998   FCC       58.76      265.91      359.21
1998   FMC       56.66      248.79       19.14
1998   FSP       61.76      238.77       27.58
1998   SMI       60.03      248.07       21.66
1998   ISL       53.86      265.34        1.92
1998   PIN       50.20      263.96        4.21
1998   RAL       58.22      256.32       12.93
1998   RAN       62.82      267.89      352.19
1998   NOR       71.09       25.79        9.29
1998   NAL       78.92       11.95      359.56
1998   LYR       78.20       15.83        2.75
1998   JAN       70.90      351.30      345.77
1998   HOP       76.51       25.01        9.71
1998   BJN       74.50       19.20        5.35
1998   SOR       70.54       22.22        6.94
1998   TRO       69.66       18.94        4.76
1998   AND       69.30       16.03        2.91
1998   JCK       66.40       16.98        3.31
1998   DON       66.11       12.50        0.73
1998   RVK       64.94       10.99      359.91
1998   DOB       62.07        9.11      359.11
1998   SOL       61.08        4.84      357.03
1998   KAR       59.21        5.24      357.53
1998   HRN       77.00       15.60        2.67
1998   ALT       69.86       22.96        7.28
1998   KEV       69.76       27.01        9.70
1998   MAS       69.46       23.70        7.66
1998   KIL       69.06       20.77        5.82
1998   KAU       69.02       23.05        7.18
1998   IVA       68.56       27.29        9.54
1998   ABK       68.35       18.82        4.55
1998   LEK       68.13       13.54        1.33
1998   MUO       68.02       23.53        7.27
1998   LOZ       67.97       35.02       13.49
1998   KIR       67.84       20.42        5.44
1998   SOD       67.37       26.63        8.85
